table,gender_blend,attained_age,q_ult
t3282,20% Male,0,2.6e-4
t3282,20% Male,1,1.4e-4
t3282,20% Male,2,1e-4
t3282,20% Male,3,9e-5
t3282,20% Male,4,9e-5
t3282,20% Male,5,9e-5
t3282,20% Male,6,9e-5
t3282,20% Male,7,8e-5
t3282,20% Male,8,8e-5
t3282,20% Male,9,8e-5
t3282,20% Male,10,9e-5
t3282,20% Male,11,9e-5
t3282,20% Male,12,9e-5
t3282,20% Male,13,1.1e-4
t3282,20% Male,14,1.8e-4
t3282,20% Male,15,2.7e-4
t3282,20% Male,16,3.6e-4
t3282,20% Male,17,4.2e-4
t3282,20% Male,18,4.2e-4
t3282,20% Male,19,4.3e-4
t3282,20% Male,20,4.3e-4
t3282,20% Male,21,4.4e-4
t3282,20% Male,22,4.5e-4
t3282,20% Male,23,4.8e-4
t3282,20% Male,24,5.2e-4
t3282,20% Male,25,5.2e-4
t3282,20% Male,26,5.3e-4
t3282,20% Male,27,5.3e-4
t3282,20% Male,28,5.4e-4
t3282,20% Male,29,5.6e-4
t3282,20% Male,30,5.9e-4
t3282,20% Male,31,6.3e-4
t3282,20% Male,32,6.8e-4
t3282,20% Male,33,7.4e-4
t3282,20% Male,34,8.1e-4
t3282,20% Male,35,9e-4
t3282,20% Male,36,0.001
t3282,20% Male,37,0.0011
t3282,20% Male,38,0.0012
t3282,20% Male,39,0.00128
t3282,20% Male,40,0.00136
t3282,20% Male,41,0.00143
t3282,20% Male,42,0.00149
t3282,20% Male,43,0.00154
t3282,20% Male,44,0.00159
t3282,20% Male,45,0.00167
t3282,20% Male,46,0.00177
t3282,20% Male,47,0.00188
t3282,20% Male,48,0.00199
t3282,20% Male,49,0.00213
t3282,20% Male,50,0.00229
t3282,20% Male,51,0.00246
t3282,20% Male,52,0.00266
t3282,20% Male,53,0.00289
t3282,20% Male,54,0.00314
t3282,20% Male,55,0.00342
t3282,20% Male,56,0.00374
t3282,20% Male,57,0.0041
t3282,20% Male,58,0.0045
t3282,20% Male,59,0.00496
t3282,20% Male,60,0.00549
t3282,20% Male,61,0.00608
t3282,20% Male,62,0.00676
t3282,20% Male,63,0.00751
t3282,20% Male,64,0.00834
t3282,20% Male,65,0.00925
t3282,20% Male,66,0.01026
t3282,20% Male,67,0.01137
t3282,20% Male,68,0.01259
t3282,20% Male,69,0.01395
t3282,20% Male,70,0.01545
t3282,20% Male,71,0.01712
t3282,20% Male,72,0.01897
t3282,20% Male,73,0.02105
t3282,20% Male,74,0.02337
t3282,20% Male,75,0.02596
t3282,20% Male,76,0.02887
t3282,20% Male,77,0.03211
t3282,20% Male,78,0.03574
t3282,20% Male,79,0.03985
t3282,20% Male,80,0.04461
t3282,20% Male,81,0.05013
t3282,20% Male,82,0.05643
t3282,20% Male,83,0.0637
t3282,20% Male,84,0.07202
t3282,20% Male,85,0.08154
t3282,20% Male,86,0.0922
t3282,20% Male,87,0.1039
t3282,20% Male,88,0.11671
t3282,20% Male,89,0.13054
t3282,20% Male,90,0.14515
t3282,20% Male,91,0.16039
t3282,20% Male,92,0.17636
t3282,20% Male,93,0.19249
t3282,20% Male,94,0.20858
t3282,20% Male,95,0.22668
t3282,20% Male,96,0.24779
t3282,20% Male,97,0.2706
t3282,20% Male,98,0.29496
t3282,20% Male,99,0.32047
t3282,20% Male,100,0.34592
t3282,20% Male,101,0.37042
t3282,20% Male,102,0.39453
t3282,20% Male,103,0.41785
t3282,20% Male,104,0.43998
t3282,20% Male,105,0.46053
t3282,20% Male,106,0.48213
t3282,20% Male,107,0.50829
t3282,20% Male,108,0.53584
t3282,20% Male,109,0.56485
t3282,20% Male,110,0.59538
t3282,20% Male,111,0.62751
t3282,20% Male,112,0.66131
t3282,20% Male,113,0.69686
t3282,20% Male,114,0.73421
t3282,20% Male,115,0.77346
t3282,20% Male,116,0.81466
t3282,20% Male,117,0.85788
t3282,20% Male,118,0.90315
t3282,20% Male,119,0.95053
t3282,20% Male,120,1
t3283,40% Male,0,2.5e-4
t3283,40% Male,1,1.4e-4
t3283,40% Male,2,1.1e-4
t3283,40% Male,3,1e-4
t3283,40% Male,4,9e-5
t3283,40% Male,5,9e-5
t3283,40% Male,6,9e-5
t3283,40% Male,7,8e-5
t3283,40% Male,8,8e-5
t3283,40% Male,9,8e-5
t3283,40% Male,10,9e-5
t3283,40% Male,11,1e-4
t3283,40% Male,12,1e-4
t3283,40% Male,13,1.3e-4
t3283,40% Male,14,2.1e-4
t3283,40% Male,15,3.1e-4
t3283,40% Male,16,4.2e-4
t3283,40% Male,17,5.1e-4
t3283,40% Male,18,5.2e-4
t3283,40% Male,19,5.3e-4
t3283,40% Male,20,5.4e-4
t3283,40% Male,21,5.5e-4
t3283,40% Male,22,5.7e-4
t3283,40% Male,23,6e-4
t3283,40% Male,24,6.4e-4
t3283,40% Male,25,6.4e-4
t3283,40% Male,26,6.5e-4
t3283,40% Male,27,6.5e-4
t3283,40% Male,28,6.5e-4
t3283,40% Male,29,6.7e-4
t3283,40% Male,30,6.9e-4
t3283,40% Male,31,7.4e-4
t3283,40% Male,32,7.9e-4
t3283,40% Male,33,8.6e-4
t3283,40% Male,34,0.00093000000000000005
t3283,40% Male,35,0.00103
t3283,40% Male,36,0.00113
t3283,40% Male,37,0.00125
t3283,40% Male,38,0.00136
t3283,40% Male,39,0.00146
t3283,40% Male,40,0.00155
t3283,40% Male,41,0.00164
t3283,40% Male,42,0.00171
t3283,40% Male,43,0.00176
t3283,40% Male,44,0.00182
t3283,40% Male,45,0.00189
t3283,40% Male,46,0.00199
t3283,40% Male,47,0.00209
t3283,40% Male,48,0.00219
t3283,40% Male,49,0.00231
t3283,40% Male,50,0.00247
t3283,40% Male,51,0.00264
t3283,40% Male,52,0.00284
t3283,40% Male,53,0.00308
t3283,40% Male,54,0.00333
t3283,40% Male,55,0.00362
t3283,40% Male,56,0.00395
t3283,40% Male,57,0.00432
t3283,40% Male,58,0.00475
t3283,40% Male,59,0.00523
t3283,40% Male,60,0.00578
t3283,40% Male,61,0.00641
t3283,40% Male,62,0.00712
t3283,40% Male,63,0.00792
t3283,40% Male,64,0.00879
t3283,40% Male,65,0.00973
t3283,40% Male,66,0.01077
t3283,40% Male,67,0.0119
t3283,40% Male,68,0.01315
t3283,40% Male,69,0.01455
t3283,40% Male,70,0.01611
t3283,40% Male,71,0.01789
t3283,40% Male,72,0.01989
t3283,40% Male,73,0.02213
t3283,40% Male,74,0.02464
t3283,40% Male,75,0.02741
t3283,40% Male,76,0.03048
t3283,40% Male,77,0.03388
t3283,40% Male,78,0.03767
t3283,40% Male,79,0.04196
t3283,40% Male,80,0.04691
t3283,40% Male,81,0.05259
t3283,40% Male,82,0.05913
t3283,40% Male,83,0.06673
t3283,40% Male,84,0.07545
t3283,40% Male,85,0.08543
t3283,40% Male,86,0.09664
t3283,40% Male,87,0.10903
t3283,40% Male,88,0.12258
t3283,40% Male,89,0.13712
t3283,40% Male,90,0.15237
t3283,40% Male,91,0.16811
t3283,40% Male,92,0.18433
t3283,40% Male,93,0.2005
t3283,40% Male,94,0.21626
t3283,40% Male,95,0.23373
t3283,40% Male,96,0.25416
t3283,40% Male,97,0.27627
t3283,40% Male,98,0.29996
t3283,40% Male,99,0.32482
t3283,40% Male,100,0.34966
t3283,40% Male,101,0.37358
t3283,40% Male,102,0.39715
t3283,40% Male,103,0.41998
t3283,40% Male,104,0.44167
t3283,40% Male,105,0.46182
t3283,40% Male,106,0.48318
t3283,40% Male,107,0.50931
t3283,40% Male,108,0.53683
t3283,40% Male,109,0.5658
t3283,40% Male,110,0.59629
t3283,40% Male,111,0.62837
t3283,40% Male,112,0.66212
t3283,40% Male,113,0.6976
t3283,40% Male,114,0.73488
t3283,40% Male,115,0.77404
t3283,40% Male,116,0.81515
t3283,40% Male,117,0.85826
t3283,40% Male,118,0.90342
t3283,40% Male,119,0.95067
t3283,40% Male,120,1
t3284,50% Male,0,2.5e-4
t3284,50% Male,1,1.5e-4
t3284,50% Male,2,1.1e-4
t3284,50% Male,3,1e-4
t3284,50% Male,4,1e-4
t3284,50% Male,5,1e-4
t3284,50% Male,6,1e-4
t3284,50% Male,7,9e-5
t3284,50% Male,8,9e-5
t3284,50% Male,9,9e-5
t3284,50% Male,10,1e-4
t3284,50% Male,11,1e-4
t3284,50% Male,12,1.1e-4
t3284,50% Male,13,1.5e-4
t3284,50% Male,14,2.2e-4
t3284,50% Male,15,3.3e-4
t3284,50% Male,16,4.5e-4
t3284,50% Male,17,5.6e-4
t3284,50% Male,18,5.7e-4
t3284,50% Male,19,5.9e-4
t3284,50% Male,20,6e-4
t3284,50% Male,21,6.1e-4
t3284,50% Male,22,6.3e-4
t3284,50% Male,23,6.6e-4
t3284,50% Male,24,7e-4
t3284,50% Male,25,7.1e-4
t3284,50% Male,26,7.1e-4
t3284,50% Male,27,7.1e-4
t3284,50% Male,28,7.1e-4
t3284,50% Male,29,7.2e-4
t3284,50% Male,30,7.5e-4
t3284,50% Male,31,7.9e-4
t3284,50% Male,32,8.5e-4
t3284,50% Male,33,9.2e-4
t3284,50% Male,34,0.001
t3284,50% Male,35,0.00109
t3284,50% Male,36,0.0012
t3284,50% Male,37,0.00132
t3284,50% Male,38,0.00144
t3284,50% Male,39,0.00155
t3284,50% Male,40,0.00165
t3284,50% Male,41,0.00175
t3284,50% Male,42,0.00183
t3284,50% Male,43,0.00188
t3284,50% Male,44,0.00194
t3284,50% Male,45,0.00201
t3284,50% Male,46,0.0021
t3284,50% Male,47,0.00219
t3284,50% Male,48,0.00229
t3284,50% Male,49,0.00241
t3284,50% Male,50,0.00256
t3284,50% Male,51,0.00274
t3284,50% Male,52,0.00294
t3284,50% Male,53,0.00317
t3284,50% Male,54,0.00343
t3284,50% Male,55,0.0037200000000000002
t3284,50% Male,56,0.00406
t3284,50% Male,57,0.00444
t3284,50% Male,58,0.00487
t3284,50% Male,59,0.00537
t3284,50% Male,60,0.00593
t3284,50% Male,61,0.00658
t3284,50% Male,62,0.00731
t3284,50% Male,63,0.00812
t3284,50% Male,64,0.00901
t3284,50% Male,65,0.00998
t3284,50% Male,66,0.01103
t3284,50% Male,67,0.01217
t3284,50% Male,68,0.01343
t3284,50% Male,69,0.01485
t3284,50% Male,70,0.01645
t3284,50% Male,71,0.01828
t3284,50% Male,72,0.02035
t3284,50% Male,73,0.02268
t3284,50% Male,74,0.02527
t3284,50% Male,75,0.02814
t3284,50% Male,76,0.03129
t3284,50% Male,77,0.03477
t3284,50% Male,78,0.03864
t3284,50% Male,79,0.04301
t3284,50% Male,80,0.04806
t3284,50% Male,81,0.05383
t3284,50% Male,82,0.06048
t3284,50% Male,83,0.06825
t3284,50% Male,84,0.07716
t3284,50% Male,85,0.08737
t3284,50% Male,86,0.09887
t3284,50% Male,87,0.1116
t3284,50% Male,88,0.12551
t3284,50% Male,89,0.14041
t3284,50% Male,90,0.15599
t3284,50% Male,91,0.17198
t3284,50% Male,92,0.18832
t3284,50% Male,93,0.2045
t3284,50% Male,94,0.22011
t3284,50% Male,95,0.23725
t3284,50% Male,96,0.25735
t3284,50% Male,97,0.2791
t3284,50% Male,98,0.30246
t3284,50% Male,99,0.327
t3284,50% Male,100,0.35154
t3284,50% Male,101,0.37516
t3284,50% Male,102,0.39847
t3284,50% Male,103,0.42105
t3284,50% Male,104,0.44251
t3284,50% Male,105,0.46247
t3284,50% Male,106,0.4837
t3284,50% Male,107,0.50983
t3284,50% Male,108,0.53733
t3284,50% Male,109,0.56628
t3284,50% Male,110,0.59675
t3284,50% Male,111,0.62881
t3284,50% Male,112,0.66252
t3284,50% Male,113,0.69797
t3284,50% Male,114,0.73521
t3284,50% Male,115,0.77433
t3284,50% Male,116,0.81539
t3284,50% Male,117,0.85845
t3284,50% Male,118,0.90355
t3284,50% Male,119,0.95074
t3284,50% Male,120,1
t3285,60% Male,0,2.5e-4
t3285,60% Male,1,1.5e-4
t3285,60% Male,2,1.1e-4
t3285,60% Male,3,1e-4
t3285,60% Male,4,1e-4
t3285,60% Male,5,1e-4
t3285,60% Male,6,1e-4
t3285,60% Male,7,9e-5
t3285,60% Male,8,9e-5
t3285,60% Male,9,9e-5
t3285,60% Male,10,1e-4
t3285,60% Male,11,1e-4
t3285,60% Male,12,1.2e-4
t3285,60% Male,13,1.6e-4
t3285,60% Male,14,2.3e-4
t3285,60% Male,15,3.4e-4
t3285,60% Male,16,4.7e-4
t3285,60% Male,17,6e-4
t3285,60% Male,18,6.1e-4
t3285,60% Male,19,6.4e-4
t3285,60% Male,20,6.5e-4
t3285,60% Male,21,6.7e-4
t3285,60% Male,22,6.9e-4
t3285,60% Male,23,7.2e-4
t3285,60% Male,24,7.6e-4
t3285,60% Male,25,7.7e-4
t3285,60% Male,26,7.7e-4
t3285,60% Male,27,7.6e-4
t3285,60% Male,28,7.6e-4
t3285,60% Male,29,7.7e-4
t3285,60% Male,30,8e-4
t3285,60% Male,31,8.4e-4
t3285,60% Male,32,9.1e-4
t3285,60% Male,33,9.7e-4
t3285,60% Male,34,0.00106
t3285,60% Male,35,0.00115
t3285,60% Male,36,0.00127
t3285,60% Male,37,0.00139
t3285,60% Male,38,0.00151
t3285,60% Male,39,0.00163
t3285,60% Male,40,0.00175
t3285,60% Male,41,0.00185
t3285,60% Male,42,0.00194
t3285,60% Male,43,0.00199
t3285,60% Male,44,0.00205
t3285,60% Male,45,0.00212
t3285,60% Male,46,0.0022
t3285,60% Male,47,0.00229
t3285,60% Male,48,0.00238
t3285,60% Male,49,0.0025
t3285,60% Male,50,0.00265
t3285,60% Male,51,0.00283
t3285,60% Male,52,0.00303
t3285,60% Male,53,0.00326
t3285,60% Male,54,0.00352
t3285,60% Male,55,0.00382
t3285,60% Male,56,0.00416
t3285,60% Male,57,0.00455
t3285,60% Male,58,0.00499
t3285,60% Male,59,0.0055
t3285,60% Male,60,0.00608
t3285,60% Male,61,0.00674
t3285,60% Male,62,0.00749
t3285,60% Male,63,0.00832
t3285,60% Male,64,0.00923
t3285,60% Male,65,0.01022
t3285,60% Male,66,0.01128
t3285,60% Male,67,0.01244
t3285,60% Male,68,0.0137
t3285,60% Male,69,0.01514
t3285,60% Male,70,0.01678
t3285,60% Male,71,0.01866
t3285,60% Male,72,0.0208
t3285,60% Male,73,0.02322
t3285,60% Male,74,0.0259
t3285,60% Male,75,0.02886
t3285,60% Male,76,0.0321
t3285,60% Male,77,0.03565
t3285,60% Male,78,0.0396
t3285,60% Male,79,0.04406
t3285,60% Male,80,0.0492
t3285,60% Male,81,0.05506
t3285,60% Male,82,0.06183
t3285,60% Male,83,0.06977
t3285,60% Male,84,0.07887
t3285,60% Male,85,0.08931
t3285,60% Male,86,0.10109
t3285,60% Male,87,0.11417
t3285,60% Male,88,0.12844
t3285,60% Male,89,0.14369
t3285,60% Male,90,0.1596
t3285,60% Male,91,0.17584
t3285,60% Male,92,0.19231
t3285,60% Male,93,0.2085
t3285,60% Male,94,0.22395
t3285,60% Male,95,0.24077
t3285,60% Male,96,0.26054
t3285,60% Male,97,0.28193
t3285,60% Male,98,0.30495
t3285,60% Male,99,0.32918
t3285,60% Male,100,0.35341
t3285,60% Male,101,0.37674
t3285,60% Male,102,0.39978
t3285,60% Male,103,0.42211
t3285,60% Male,104,0.44335
t3285,60% Male,105,0.46312
t3285,60% Male,106,0.48422
t3285,60% Male,107,0.51034
t3285,60% Male,108,0.53783
t3285,60% Male,109,0.56676
t3285,60% Male,110,0.59721
t3285,60% Male,111,0.62924
t3285,60% Male,112,0.66292
t3285,60% Male,113,0.69833
t3285,60% Male,114,0.73554
t3285,60% Male,115,0.77462
t3285,60% Male,116,0.81563
t3285,60% Male,117,0.85864
t3285,60% Male,118,0.90368
t3285,60% Male,119,0.9508
t3285,60% Male,120,1
t3286,80% Male,0,2.4e-4
t3286,80% Male,1,1.5e-4
t3286,80% Male,2,1.2e-4
t3286,80% Male,3,1.1e-4
t3286,80% Male,4,1e-4
t3286,80% Male,5,1e-4
t3286,80% Male,6,1e-4
t3286,80% Male,7,9e-5
t3286,80% Male,8,9e-5
t3286,80% Male,9,9e-5
t3286,80% Male,10,1e-4
t3286,80% Male,11,1.1e-4
t3286,80% Male,12,1.3e-4
t3286,80% Male,13,1.8e-4
t3286,80% Male,14,2.6e-4
t3286,80% Male,15,3.8e-4
t3286,80% Male,16,5.3e-4
t3286,80% Male,17,6.9e-4
t3286,80% Male,18,7.1e-4
t3286,80% Male,19,7.4e-4
t3286,80% Male,20,7.6e-4
t3286,80% Male,21,7.8e-4
t3286,80% Male,22,8.1e-4
t3286,80% Male,23,8.4e-4
t3286,80% Male,24,8.8e-4
t3286,80% Male,25,8.9e-4
t3286,80% Male,26,8.9e-4
t3286,80% Male,27,8.8e-4
t3286,80% Male,28,8.7e-4
t3286,80% Male,29,8.8e-4
t3286,80% Male,30,9e-4
t3286,80% Male,31,9.5e-4
t3286,80% Male,32,0.00102
t3286,80% Male,33,0.00109
t3286,80% Male,34,0.00118
t3286,80% Male,35,0.00128
t3286,80% Male,36,0.0014
t3286,80% Male,37,0.00154
t3286,80% Male,38,0.00167
t3286,80% Male,39,0.00181
t3286,80% Male,40,0.00194
t3286,80% Male,41,0.00206
t3286,80% Male,42,0.00216
t3286,80% Male,43,0.00221
t3286,80% Male,44,0.00228
t3286,80% Male,45,0.00234
t3286,80% Male,46,0.00242
t3286,80% Male,47,0.0025
t3286,80% Male,48,0.00258
t3286,80% Male,49,0.00268
t3286,80% Male,50,0.00283
t3286,80% Male,51,0.00301
t3286,80% Male,52,0.00321
t3286,80% Male,53,0.00345
t3286,80% Male,54,0.00371
t3286,80% Male,55,0.00402
t3286,80% Male,56,0.00437
t3286,80% Male,57,0.00477
t3286,80% Male,58,0.00524
t3286,80% Male,59,0.00577
t3286,80% Male,60,0.00637
t3286,80% Male,61,0.00707
t3286,80% Male,62,0.00785
t3286,80% Male,63,0.00873
t3286,80% Male,64,0.00968
t3286,80% Male,65,0.0107
t3286,80% Male,66,0.01179
t3286,80% Male,67,0.01297
t3286,80% Male,68,0.01426
t3286,80% Male,69,0.01574
t3286,80% Male,70,0.01744
t3286,80% Male,71,0.01943
t3286,80% Male,72,0.02172
t3286,80% Male,73,0.0243
t3286,80% Male,74,0.02717
t3286,80% Male,75,0.03031
t3286,80% Male,76,0.03371
t3286,80% Male,77,0.03742
t3286,80% Male,78,0.04153
t3286,80% Male,79,0.04617
t3286,80% Male,80,0.0515
t3286,80% Male,81,0.05752
t3286,80% Male,82,0.06453
t3286,80% Male,83,0.0728
t3286,80% Male,84,0.0823
t3286,80% Male,85,0.0932
t3286,80% Male,86,0.10553
t3286,80% Male,87,0.1193
t3286,80% Male,88,0.13431
t3286,80% Male,89,0.15027
t3286,80% Male,90,0.16682
t3286,80% Male,91,0.18356
t3286,80% Male,92,0.20028
t3286,80% Male,93,0.21651
t3286,80% Male,94,0.23163
t3286,80% Male,95,0.24782
t3286,80% Male,96,0.26691
t3286,80% Male,97,0.2876
t3286,80% Male,98,0.30995
t3286,80% Male,99,0.33353
t3286,80% Male,100,0.35715
t3286,80% Male,101,0.3799
t3286,80% Male,102,0.4024
t3286,80% Male,103,0.42424
t3286,80% Male,104,0.44504
t3286,80% Male,105,0.46441
t3286,80% Male,106,0.48527
t3286,80% Male,107,0.51136
t3286,80% Male,108,0.53882
t3286,80% Male,109,0.56771
t3286,80% Male,110,0.59812
t3286,80% Male,111,0.6301
t3286,80% Male,112,0.66373
t3286,80% Male,113,0.69907
t3286,80% Male,114,0.73621
t3286,80% Male,115,0.7752
t3286,80% Male,116,0.81612
t3286,80% Male,117,0.85902
t3286,80% Male,118,0.90395
t3286,80% Male,119,0.95094
t3286,80% Male,120,1
